DATE,UNRATE,FEDFUNDS,RPI
2001-03,4.3,5.31,11349.539
2001-04,4.4,4.8,11322.69
2001-05,4.3,4.21,11290.341
2001-06,4.5,3.97,11274.818
2001-07,4.6,3.77,11273.766
2001-08,4.9,3.65,11263.875
2001-09,5,3.07,11282.01
2001-10,5.3,2.49,11278.262
2007-12,5,4.24,13177.454
2008-01,5,3.94,13188.347
2008-02,4.9,2.98,13195.34
2008-03,5.1,2.61,13202.006
2008-04,5,2.28,13160.788
2008-05,5.4,1.98,13704.098
2008-06,5.6,2,13359.533
2008-07,5.8,2.01,13138.288
2008-08,6.1,2,13054.138
2008-09,6.1,1.81,13067.915
2008-10,6.5,0.97,13131.123
2008-11,6.8,0.39,13211.827
2008-12,7.3,0.16,13121.721
2009-01,7.8,0.15,12971.02
2009-02,8.3,0.22,12813.805
2009-03,8.7,0.18,12778.19
2009-04,9,0.15,12837.219
2009-05,9.4,0.18,13027.964
2020-03,4.4,0.65,16947.234
2020-04,14.7,0.05,19124.43
2020-05,13.3,0.05,18296.406
2020-06,11.1,0.08,17990.747